DATE,VOL,TRA
2021-01-05,16631219,5512
2021-01-06,19007699,7543
2021-01-07,21050886,8180
2021-01-08,17406803,7092
2021-01-11,12931584,4475
2021-01-12,12308587,5011
2021-01-13,19069294,8481
2021-01-14,20065858,9445
2021-01-15,30713520,12309
2021-01-18,25218241,12722
2021-01-19,12118298,5920
2021-01-20,35184150,17720
2021-01-21,17924123,9025
2021-01-22,28591283,12782
2021-01-25,20825228,7500
2021-01-26,35437633,16353
2021-01-27,17017733,9277
2021-01-28,22411197,12318
2021-01-29,20902501,8346
2021-02-01,11796904,5469
2021-02-02,19228013,7404
2021-02-03,24925042,9528
2021-02-04,17917913,6810
2021-02-17,24248267,10591
2021-02-18,19542360,7311
2021-02-19,16913305,7426
2021-02-22,23412037,8906
2021-02-23,26550808,10867
2021-02-24,19312353,6981
2021-02-25,15132154,6221
2021-02-26,32005798,10051
2021-03-02,21420625,6796
2021-03-03,18135047,5415
2021-03-04,19801467,6972
2021-03-05,9262307,3296
2021-03-08,29090035,5849
2021-03-09,24736825,11262
2021-03-10,23663072,10925
2021-03-11,22296062,8472
2021-03-12,18550910,8663
2021-03-15,24555341,12410
2021-03-16,10741370,4876
2021-03-17,12653419,6625
2021-03-18,14889159,6539
2021-03-19,23488235,6968
2021-03-22,102000789,42072
2021-03-23,38751832,15253
2021-03-24,21118254,9483
2021-03-25,23439316,9509
2021-03-26,39771169,14731
2021-03-29,31037275,11788
2021-03-30,34184434,8354
2021-03-31,21882853,8822
2021-04-01,16542110,7051
2021-04-06,33845298,13638
2021-04-07,12964742,5953
2021-04-08,16095270,7734
2021-04-09,19693919,9966
2021-04-12,18150925,7261
2021-04-13,31772378,14139
2021-04-14,26957007,11132
2021-04-15,39227693,14647
2021-04-16,54142060,19206
2021-04-19,61427913,27163
2021-04-20,93792314,42840
2021-04-21,139647984,58872
2021-04-22,204668299,82759
2021-04-23,105526229,45023
2021-04-26,79418607,35187
2021-04-27,41576962,20636
2021-04-28,42357712,19766
2021-04-29,44585563,21163
2021-05-03,59137235,26287
2021-05-04,93561732,34397
2021-05-05,51699126,17527
2021-05-06,43460127,18719
2021-05-07,43699244,20582
2021-05-10,31901563,14425
2021-05-11,55872332,24787
2021-05-12,97055506,46424
2021-05-13,54496157,24641
2021-05-14,38504239,16155
2021-05-17,52837567,25508
2021-05-18,32663784,14854
2021-05-19,29743622,13416
2021-05-20,31634237,12606
2021-05-21,29217416,12000
2021-05-24,16039843,7548
2021-05-25,15077611,8958
2021-05-26,18836027,9166
2021-05-27,41438932,13560
2021-05-28,16662777,7317
2021-05-31,24168725,9705
2021-06-01,9774499,4923
2021-06-02,22482449,10185
2021-06-03,23863470,10596
2021-06-04,12355472,6843
2021-06-07,12370230,6835
2021-06-08,8763161,5009
2021-06-09,11685183,6534
2021-06-10,9323968,4307
2021-06-11,8545178,3943
2021-06-15,9340616,4670
2021-06-16,17406495,8587
2021-06-17,15211770,7280
2021-06-18,24209277,9442
2021-06-21,20719944,9089
2021-06-22,15262032,6587
2021-06-23,16479092,6359
2021-06-24,13545751,4747
2021-06-25,16027596,8051
2021-06-28,16044822,7180
2021-06-29,11142372,5523
2021-06-30,13888581,7174
2021-07-01,21255834,10298
2021-07-02,17261412,9946
2021-07-05,24887100,10379
2021-07-06,24057474,10566
2021-07-07,24259700,10028
2021-07-08,53623501,22774
2021-07-09,37913759,16074
2021-07-12,26725789,10097
2021-07-13,23392966,9927
2021-07-14,20343534,8784
2021-07-15,11938157,5094
2021-07-16,12188101,5958
2021-07-19,11286149,4773
2021-07-20,10145510,4446
2021-07-21,24843451,10518
2021-07-22,16553240,7073
2021-07-23,34420099,13742
2021-07-26,24737557,10862
2021-07-27,18654939,8187
2021-07-28,36454371,13822
2021-07-29,18957983,7236
2021-07-30,12473682,5158
2021-08-02,14023385,6962
2021-08-03,45545154,16031
2021-08-04,23552465,9940
2021-08-05,38673195,14252
2021-08-06,32500825,9306
2021-08-09,33630358,11333
2021-08-10,34313716,11543
2021-08-11,59669569,24883
2021-08-12,87897408,30427
2021-08-13,23823791,12761
2021-08-16,26728439,12279
2021-08-17,25544445,11718
2021-08-18,25211046,12379
2021-08-19,26172172,17217
2021-08-20,19229307,9518
2021-08-23,10490198,5847
2021-08-24,11011728,6742
2021-08-25,8703206,4742
2021-08-26,13184942,7265
2021-08-27,9381764,4767
2021-08-30,9216966,4981
2021-08-31,18403515,5426
