DATE,PRICE
2021-02-01,13403.389648
2021-02-02,13612.780273
2021-02-03,13610.540039
2021-02-04,13777.740234
2021-02-05,13856.299805
2021-02-08,13987.639648
2021-02-09,14007.700195
2021-02-10,13972.530273
2021-02-11,14025.769531
2021-02-12,14095.469727
2021-02-16,14047.5
2021-02-17,13965.490234
2021-02-18,13865.360352
2021-02-19,13874.459961
2021-02-22,13533.049805
2021-02-23,13465.200195
2021-02-24,13597.969727
2021-02-25,13119.429688
2021-02-26,13192.349609
2021-03-01,13588.830078
2021-03-02,13358.790039
2021-03-03,12997.75
2021-03-04,12723.469727
2021-03-05,12920.150391
2021-03-08,12609.160156
2021-03-09,13073.820313
2021-03-10,13068.830078
2021-03-11,13398.669922
2021-03-12,13319.860352
2021-03-15,13459.709961
2021-03-16,13471.570313
2021-03-17,13525.200195
2021-03-18,13116.169922
2021-03-19,13215.240234
2021-03-22,13377.540039
2021-03-23,13227.700195
2021-03-24,12961.889648
2021-03-25,12977.679688
2021-03-26,13138.730469
2021-03-29,13059.650391
2021-03-30,13045.389648
2021-03-31,13246.870117
2021-04-01,13480.110352
2021-04-05,13705.589844
2021-04-06,13698.379883
2021-04-07,13688.839844
2021-04-08,13829.30957
2021-04-09,13900.19043
2021-04-12,13850.0
2021-04-13,13996.099609
2021-04-14,13857.839844
2021-04-15,14038.759766
2021-04-16,14052.339844
2021-04-19,13914.769531
2021-04-20,13786.269531
2021-04-21,13950.219727
2021-04-22,13818.410156
2021-04-23,14016.80957
2021-04-26,14138.780273
2021-04-27,14090.219727
2021-04-28,14051.030273
2021-04-29,14082.549805
2021-04-30,13962.679688
2021-05-03,13895.120117
2021-05-04,13633.5
2021-05-05,13582.419922
2021-05-06,13632.839844
2021-05-07,13752.240234
2021-05-10,13401.860352
2021-05-11,13389.429688
2021-05-12,13031.679688
2021-05-13,13124.990234
2021-05-14,13429.980469
2021-05-17,13379.049805
2021-05-18,13303.639648
2021-05-19,13299.740234
2021-05-20,13535.740234
2021-05-21,13470.990234
2021-05-24,13661.169922
2021-05-25,13657.169922
2021-05-26,13738.0
2021-05-27,13736.280273
2021-05-28,13748.740234
2021-06-01,13736.480469
2021-06-02,13756.330078
2021-06-03,13614.509766
2021-06-04,13814.490234
2021-06-07,13881.719727
2021-06-08,13924.910156
2021-06-09,13911.75
2021-06-10,14020.330078
2021-06-11,14069.419922
2021-06-14,14174.139648
2021-06-15,14072.860352
2021-06-16,14039.679688
2021-06-17,14161.349609
2021-06-18,14030.379883
2021-06-21,14141.480469
2021-06-22,14253.269531
2021-06-23,14271.730469
2021-06-24,14369.709961
2021-06-25,14360.389648
2021-06-28,14500.509766
2021-06-29,14528.330078
2021-06-30,14503.950195
